DATE,Rochester,Birmingham,Toledo,Kissimmee,Akron,Jackson
01/01/2017,149.53,176.79,144.59,223.2,142.88,162.45
01/04/2017,152.49,180.4,146.28,228.8,146.73,166.91
01/07/2017,155.75,182.22,149,233.6,147.8,171.28
01/10/2017,156.31,182.54,148.98,239.08,149.5,175.98
01/01/2018,156.59,185.36,150.63,243.84,150.8,175.39
01/04/2018,161.34,189.39,153.62,250.2,152.46,177.85
01/07/2018,163.36,192.26,155.72,253.83,157.33,183.19
01/10/2018,163.1,192.41,156.29,256.25,155.12,180.59
01/01/2019,164.13,196.01,158.51,261.18,157.4,186.19
01/04/2019,168.05,198.51,160.97,264.34,160.81,190.33
01/07/2019,169.98,201.57,162.93,270.06,162.91,190.08
01/10/2019,170.21,203.26,164.5,271.73,164.57,193.42
01/01/2020,172.62,205.7,165.95,276.44,166.77,195.61
01/04/2020,175.08,208.77,167.25,278.3,167.61,196.95
01/07/2020,179.88,212.64,170.71,284.03,171.81,203.64
01/10/2020,183.59,216.58,174.81,289.83,176.34,205.13
01/01/2021,187.22,219.73,177.48,297.47,178.8,210.17
01/04/2021,198.89,231.1,186.05,314.17,186.86,221.6
01/07/2021,209.61,241.92,194.55,334.6,197.34,230.21
01/10/2021,211.26,249.61,197.89,349.3,201.19,236.01
01/01/2022,218.68,256.72,201.67,369.44,207.29,241.97
01/04/2022,236.78,272.58,214.12,395.73,219.81,255.94
01/07/2022,239.34,280.71,219.19,414.55,224.07,264.88
01/10/2022,237.17,276.57,215.49,415.72,221.86,264.14
01/01/2023,242.43,282.28,220.43,414.67,220.31,254.78
01/04/2023,258.52,289.48,227.03,421.67,230.91,266.58
01/07/2023,268.19,288.59,238.38,436.27,240.04,279.92
