name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total,name_new
295 E 238th,Euclid,50.37 $,9.68%,No,120888.00 $,0.00 $,0.00 $,295-e-238th
857 E 222nd,Euclid,50.30 $,9.65%,No,110660.00 $,0.00 $,0.00 $,857-e-222nd
16704 Talford,Cleveland,50.44 $,9.70%,No,104915.20 $,0.00 $,0.00 $,16704-talford
10807 Wadsworth,Garfield Heights,50.01 $,9.62%,No,107521.50 $,0.00 $,0.00 $,10807-wadsworth
5250 Philip,Maple Heights,50.11 $,9.61%,No,102725.50 $,0.00 $,0.00 $,5250-philip
18014 North,Maple Heights,50.51 $,9.70%,No,121224.00 $,0.00 $,0.00 $,18014-north
1 Holdings McCracken,Garfield Heights,50.29 $,9.63%,No,316827.00 $,0.00 $,0.00 $,1-holdings-mccracken
Lucero Club 1R4,Detroit,50.73 $,8.03%,No,649344.00 $,0.00 $,0.00 $,lucero-club-1r4
22 Lamar,Jennings,50.31 $,9.85%,No,72949.50 $,101.12 $,101.12 $,22-lamar
1760 Elkins,St. Louis,50.40 $,9.76%,No,90720.00 $,5.04 $,5.04 $,1760-elkins
9164 Longridge,St. Louis,50.56 $,9.72%,No,70784.00 $,0.51 $,0.51 $,9164-longridge
11441-11443 Flanders,Detroit,50.35 $,10.18%,No,110770.00 $,0.00 $,0.00 $,11441-11443-flanders
15720 Snowden,Detroit,50.32 $,9.16%,No,70448.00 $,0.00 $,0.00 $,15720-snowden
15011 Monte Vista,Detroit,50.33 $,9.20%,No,71971.90 $,10.57 $,10.57 $,15011-monte-vista
18703 Gilchrist,Detroit,50.48 $,9.16%,No,74710.40 $,10.60 $,10.60 $,18703-gilchrist
20013 Revere,Detroit,50.48 $,10.03%,No,69662.40 $,1690.58 $,1690.58 $,20013-revere
12789 Birwood,Detroit,50.07 $,9.57%,No,79110.60 $,141.00 $,141.00 $,12789-birwood
13885 Bringard,Detroit,50.28 $,9.40%,No,80448.00 $,10.56 $,10.56 $,13885-bringard
19555 Barlow,Detroit,50.11 $,9.65%,No,72659.50 $,14.53 $,14.53 $,19555-barlow
18605 Orleans,Detroit,50.42 $,10.06%,No,73109.00 $,0.50 $,0.50 $,18605-orleans
19335 Rutherford,Detroit,51.41 $,9.49%,No,71974.00 $,977.82 $,977.82 $,19335-rutherford
20521 Hull,Detroit,50.19 $,9.39%,No,77292.60 $,10.04 $,10.04 $,20521-hull
10048 Grayton,Detroit,51.76 $,9.02%,No,81780.80 $,2060.35 $,2060.35 $,10048-grayton
3742-3746 Whitney,Detroit,50.14 $,10.62%,No,155434.00 $,2685.26 $,4024.16 $,3742-3746-whitney
6515-6517 Boxwood,Detroit,50.44 $,10.03%,No,133666.00 $,106.93 $,207.81 $,6515-6517-boxwood
12047 Nashville,Detroit,50.21 $,9.66%,No,75315.00 $,383.83 $,685.09 $,12047-nashville
18429 Fielding,Detroit,50.46 $,9.07%,No,79726.80 $,201.84 $,201.84 $,18429-fielding
15285 Fordham,Detroit,50.44 $,9.18%,No,79695.20 $,504.40 $,510.45 $,15285-fordham
8644 Greenview,Detroit,50.20 $,9.70%,No,75300.00 $,341.36 $,341.36 $,8644-greenview
14872 Ilene,Detroit,50.91 $,9.80%,No,76365.00 $,141.76 $,560.01 $,14872-ilene
16728-16730 Woodingham,Detroit,50.49 $,10.05%,No,143896.50 $,1716.23 $,3527.53 $,16728-16730-woodingham
15003 Appoline,Detroit,50.73 $,9.12%,No,78631.50 $,3005.75 $,3353.25 $,15003-appoline
15019 Steel,Detroit,50.31 $,10.07%,No,137346.30 $,855.27 $,860.80 $,15019-steel
15860 Steel,Detroit,50.38 $,10.39%,No,138545.00 $,1303.93 $,2173.55 $,15860-steel
1 Holdings Monterey,Detroit,50.92 $,10.25%,No,381900.00 $,1425.59 $,1781.13 $,1-holdings-monterey
1 Holdings W Arizona,Highland Park,50.11 $,10.21%,No,192923.50 $,1269.32 $,2441.99 $,1-holdings-w-arizona
12130 Manor,Detroit,51.79 $,10.11%,No,72506.00 $,783.10 $,3904.34 $,12130-manor
18662 Blackmoor,Detroit,50.94 $,9.51%,No,76410.00 $,50.94 $,662.22 $,18662-blackmoor
3015 Northwestern,Detroit,50.56 $,9.47%,No,75840.00 $,151.68 $,187.07 $,3015-northwestern
18415 Fielding,Detroit,50.34 $,9.40%,No,72993.00 $,139.44 $,144.48 $,18415-fielding
9576 Grandmont,Detroit,50.23 $,10.09%,No,74340.40 $,5353.62 $,6271.39 $,9576-grandmont
11125 Craft,Detroit,50.21 $,9.21%,No,70796.10 $,4221.15 $,5699.84 $,11125-craft
20240 Rogge,Detroit,50.60 $,9.29%,No,71852.00 $,622.38 $,723.58 $,20240-rogge
17157 Rowe,Detroit,50.23 $,9.17%,No,71326.60 $,210.97 $,683.13 $,17157-rowe
11401 Winthrop,Detroit,50.66 $,9.19%,No,71937.20 $,303.96 $,521.80 $,11401-winthrop
7913 Faith,Montgomery,52.10 $,7.35%,No,323020.00 $,1073.26 $,1177.46 $,7913-faith
17335 Bradford,Detroit,50.69 $,9.15%,No,73500.50 $,258.52 $,773.87 $,17335-bradford
15800 Tacoma,Detroit,50.86 $,9.15%,No,71204.00 $,863.09 $,2846.63 $,15800-tacoma
1 Holdings Strasburg,Detroit,50.38 $,9.22%,No,136026.00 $,831.56 $,2764.15 $,1-holdings-strasburg
9950 Beaconsfield,Detroit,50.48 $,9.15%,No,70672.00 $,201.92 $,706.72 $,9950-beaconsfield
1 Holdings Helen,Detroit,50.06 $,9.12%,No,140168.00 $,490.10 $,1258.52 $,1-holdings-helen
19731 Shields,Detroit,50.89 $,9.85%,No,66157.00 $,318.06 $,1539.42 $,19731-shields
15015 Ward,Detroit,50.63 $,9.62%,No,67337.90 $,50.63 $,215.18 $,15015-ward
13510 Dale,Detroit,50.63 $,9.23%,No,67337.90 $,0.00 $,810.59 $,13510-dale
2476 Clements,Detroit,50.45 $,9.76%,No,69621.00 $,1497.89 $,5221.53 $,2476-clements
12236 Sorrento,Detroit,50.70 $,9.71%,No,68445.00 $,507.00 $,608.40 $,12236-sorrento
5344-5346 Belvidere,Detroit,50.91 $,10.42%,No,84510.60 $,564.38 $,4216.13 $,5344-5346-belvidere
15225 Bringard,Detroit,50.72 $,9.17%,No,68472.00 $,178.03 $,380.91 $,15225-bringard
13595 Griggs,Detroit,50.97 $,9.03%,No,66261.00 $,28.54 $,232.42 $,13595-griggs
16051 E State Fair,Detroit,49.65 $,9.86%,No,68517.00 $,977.18 $,6902.21 $,16051-e-state-fair
14903 Promenade,Detroit,50.40 $,9.87%,No,69552.00 $,151.20 $,680.40 $,14903-promenade
10822 Whitehill,Detroit,50.04 $,9.03%,No,65052.00 $,27.52 $,227.68 $,10822-whitehill
13700 Dexter,Detroit,50.37 $,10.14%,No,629625.00 $,3529.19 $,23646.03 $,13700-dexter
