List of RealTokens,,,,,,
Short Name,City,Realt Price,Realt APR,RMM,Supply,Volume all time
295 E 238th,Euclid,50.37 $,9.68%,No,120888.00 $,0.00 $
857 E 222nd,Euclid,50.30 $,9.65%,No,110660.00 $,0.00 $
16704 Talford,Cleveland,50.44 $,9.70%,No,104915.20 $,0.00 $
10807 Wadsworth,Garfield Heights,50.01 $,9.62%,No,107521.50 $,0.00 $
5250 Philip,Maple Heights,50.11 $,9.61%,No,102725.50 $,0.00 $
18014 North,Maple Heights,50.51 $,9.70%,No,121224.00 $,0.00 $
1 Holdings McCracken,Garfield Heights,50.29 $,9.63%,No,316827.00 $,0.00 $
Lucero Club 1R4,Detroit,50.73 $,8.03%,No,649344.00 $,0.00 $
22 Lamar,Jennings,50.31 $,9.85%,No,72949.50 $,101.12 $
1760 Elkins,St. Louis,50.40 $,9.76%,No,90720.00 $,5.04 $
9164 Longridge,St. Louis,50.56 $,9.72%,No,70784.00 $,0.51 $
11441-11443 Flanders,Detroit,50.35 $,10.18%,No,110770.00 $,0.00 $
15720 Snowden,Detroit,50.32 $,9.16%,No,70448.00 $,0.00 $
15011 Monte Vista,Detroit,50.33 $,9.20%,No,71971.90 $,10.57 $
18703 Gilchrist,Detroit,50.48 $,9.16%,No,74710.40 $,10.60 $
20013 Revere,Detroit,50.48 $,10.03%,No,69662.40 $,1690.58 $
12789 Birwood,Detroit,50.07 $,9.57%,No,79110.60 $,141.00 $
13885 Bringard,Detroit,50.28 $,9.40%,No,80448.00 $,10.56 $
19555 Barlow,Detroit,50.11 $,9.65%,No,72659.50 $,14.53 $
18605 Orleans,Detroit,50.42 $,10.06%,No,73109.00 $,0.50 $
19335 Rutherford,Detroit,51.41 $,9.49%,No,71974.00 $,977.82 $
20521 Hull,Detroit,50.19 $,9.39%,No,77292.60 $,10.04 $
10048 Grayton,Detroit,51.76 $,9.02%,No,81780.80 $,2060.35 $
3742-3746 Whitney,Detroit,50.14 $,10.62%,No,155434.00 $,4024.16 $
6515-6517 Boxwood,Detroit,50.44 $,10.03%,No,133666.00 $,207.81 $
12047 Nashville,Detroit,50.21 $,9.66%,No,75315.00 $,685.09 $
18429 Fielding,Detroit,50.46 $,9.07%,No,79726.80 $,201.84 $
15285 Fordham,Detroit,50.44 $,9.18%,No,79695.20 $,510.45 $
8644 Greenview,Detroit,50.20 $,9.70%,No,75300.00 $,341.36 $
14872 Ilene,Detroit,50.91 $,9.80%,No,76365.00 $,560.01 $
16728-16730 Woodingham,Detroit,50.49 $,10.05%,No,143896.50 $,3527.53 $
15003 Appoline,Detroit,50.73 $,9.12%,No,78631.50 $,3353.25 $
15019 Steel,Detroit,50.31 $,10.07%,No,137346.30 $,860.80 $
15860 Steel,Detroit,50.38 $,10.39%,No,138545.00 $,2173.55 $
1 Holdings Monterey,Detroit,50.92 $,10.25%,No,381900.00 $,1781.13 $
1 Holdings W Arizona,Highland Park,50.11 $,10.21%,No,192923.50 $,2441.99 $
12130 Manor,Detroit,51.79 $,10.11%,No,72506.00 $,3904.34 $
18662 Blackmoor,Detroit,50.94 $,9.51%,No,76410.00 $,662.22 $
3015 Northwestern,Detroit,50.56 $,9.47%,No,75840.00 $,187.07 $
18415 Fielding,Detroit,50.34 $,9.40%,No,72993.00 $,144.48 $
9576 Grandmont,Detroit,50.23 $,10.09%,No,74340.40 $,6271.39 $
11125 Craft,Detroit,50.21 $,9.21%,No,70796.10 $,5699.84 $
20240 Rogge,Detroit,50.60 $,9.29%,No,71852.00 $,723.58 $
17157 Rowe,Detroit,50.23 $,9.17%,No,71326.60 $,683.13 $
11401 Winthrop,Detroit,50.66 $,9.19%,No,71937.20 $,521.80 $
7913 Faith,Montgomery,52.10 $,7.35%,No,323020.00 $,1177.46 $
17335 Bradford,Detroit,50.69 $,9.15%,No,73500.50 $,773.87 $
15800 Tacoma,Detroit,50.86 $,9.15%,No,71204.00 $,2846.63 $
1 Holdings Strasburg,Detroit,50.38 $,9.22%,No,136026.00 $,2764.15 $
9950 Beaconsfield,Detroit,50.48 $,9.15%,No,70672.00 $,706.72 $
1 Holdings Helen,Detroit,50.06 $,9.12%,No,140168.00 $,1258.52 $
19731 Shields,Detroit,50.89 $,9.85%,No,66157.00 $,1539.42 $
15015 Ward,Detroit,50.63 $,9.62%,No,67337.90 $,215.18 $
13510 Dale,Detroit,50.63 $,9.23%,No,67337.90 $,810.59 $
2476 Clements,Detroit,50.45 $,9.76%,No,69621.00 $,5221.53 $
12236 Sorrento,Detroit,50.70 $,9.71%,No,68445.00 $,608.40 $
5344-5346 Belvidere,Detroit,50.91 $,10.42%,No,84510.60 $,4216.13 $
15225 Bringard,Detroit,50.72 $,9.17%,No,68472.00 $,380.91 $
13595 Griggs,Detroit,50.97 $,9.03%,No,66261.00 $,232.42 $
16051 E State Fair,Detroit,49.65 $,9.86%,No,68517.00 $,6902.21 $
14903 Promenade,Detroit,50.40 $,9.87%,No,69552.00 $,680.40 $
10822 Whitehill,Detroit,50.04 $,9.03%,No,65052.00 $,227.68 $
