Txn Hash,timestamp,Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX,volume_bought,volume_sold,token_bought,token_sold
0x6d2c30fc55b555126b67abf1824b816ef8435ab2308ea2d5c743acf002374b0b,1592271823,Swap,0.214210471, UNI-V1,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.21421047,UNI-V1 per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.214210471,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1
0xf9520cda6b6b872dc6c6964f1c01e76bc5d4236eb634a372edccd1d9c9575043,1592454262,Swap,0.462456707, UNI-V1,2, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.23122835,UNI-V1 per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.462456707,2, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1
0x19b1bc496cc970b93792c1b7725784dabfab6cd1789fa6c702ecd5b903745465,1592639290,Buy,0.235820738, ETH,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.23582074,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.235820738,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
0xd1af7ee8070bd2780fae710ea0424b23be3c6d1aab41c288fffbfb7f4068b89e,1592806026,Buy,0.437026224, ETH,2, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.21851311,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.437026224,2, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
0x47d63e1382660c47df690bbbd8fcd2e4c0d0d9c223fdcc155faf6d54954c8b38,1593323825,Swap,0.656881118, UNI-V1,3, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.21896037,UNI-V1 per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.656881118,3, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1
0x5fbe4bfb10351b939a05d873145e724c64f1b248361e0002e2323e056a0f55fb,1593639229,Buy,0.857929896, ETH,4, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.21448247,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.857929896,4, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
0x1eec3e091ec9165427827eafbc1c2c765d01ce991a143b12ff64bae16bb0e107,1593640774,Sell,3, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.637259812, ETH,0.21241994,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.637259812,3, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
0x372c35e9f799f1ca13d27c2a098d279cb465493e164f858a851ae732a087aa5c,1593716470,Swap,0.225871208, UNI-V1,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.22587121,UNI-V1 per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.225871208,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1
0x408beff2139a324cedb12a6c248cc00cc0257cc29aee7a49847eef40c044c6ee,1593897496,Buy,0.223368858, ETH,0.99494573, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.22450356,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.223368858,0.99494573, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
0xc33dee52af664dad1c92e961b2f0cc0966e0b9e4b7e2e77edc44258fdc5b6728,1593953660,Buy,0.23626549, ETH,1.045242179, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.22603899,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.23626549,1.045242179, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
0x776495a32d6f14f79f79b63986a98982c23aafb47c3fc000981f60f3a392ed30,1593972777,Buy,0.224867189, ETH,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,0.22486719,ETH per REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,Uniswap,0.224867189,1, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH
